scientificName,nameShort
Agonoleptus.conjunctus,agonolConjun
Agonum.retractum,agonumRetrac
Amara.quenseli,amaraQuense
Anisodactylus.merula,anisodMerula
Anisodactylus.rusticus,anisodRustic
Brachinus.alternans,brachiAltern
Calathus.gregarius,calathGregar
Calathus.ingratus,calathIngrat
Calathus.opaculus,calathOpacul
Carabus.goryi,carabuGoryi
Chlaenius.aestivus,chlaenAestiv
Chlaenius.emarginatus,chlaenEmargi
Chlaenius.tomentosus,chlaenToment
Cicindela.punctulata,cicindPunctu
Cicindela.punctulata punctulata,cicindPunctupunctu
Cratacanthus.dubius,cratacDubius
Cyclotrachelus.convivus,cyclotConviv
Cyclotrachelus.sigillatus,cyclotSigill
Cyclotrachelus.sodalis colossus,cyclotSodalicoloss
Cyclotrachelus.torvus,cyclotTorvus
Cymindis.cribricollis,cymindCribri
Cymindis.neglecta,cymindNeglec
Dicaelus.dilatatus dilatatus,dicaelDilatadilata
Dicaelus.elongatus,dicaelElonga
Dicaelus.furvus furvus,dicaelFurvusfurvus
Dicaelus.politus,dicaelPolitu
Discoderus.parallelus,discodParall
Euryderus.grossus,eurydeGrossu
Galerita.bicolor,galeriBicolo
Harpalus.caliginosus,harpalCaligi
Harpalus.desertus,harpalDesert
Harpalus.ellipsis,harpalEllips
Harpalus.opacipennis,harpalOpacip
Harpalus.paratus,harpalParatu
Harpalus.pensylvanicus,harpalPensyl
Harpalus.somnulentus,harpalSomnul
Notiophilus.aeneus,notiopAeneus
Pasimachus.californicus,pasimaCalifo
Pasimachus.elongatus,pasimaElonga
Pasimachus.punctulatus,pasimaPunctu
Platynus.decentis,platynDecent
Poecilus.lucublandus,poecilLucubl
Pterostichus.adoxus,pterosAdoxus
Pterostichus.coracinus,pterosCoraci
Pterostichus.lachrymosus,pterosLachry
Pterostichus.lama,pterosLama
Pterostichus.melanarius melanarius,pterosMelanamelana
Pterostichus.mutus,pterosMutus
Pterostichus.pensylvanicus,pterosPensyl
Pterostichus.permundus,pterosPermun
Pterostichus.rostratus,pterosRostra
Pterostichus.stygicus,pterosStygic
Pterostichus.tristis,pterosTristi
Scarites.subterraneus,scaritSubter
Selenophorus.planipennis,selenoPlanip
Sphaeroderus.canadensis canadensis,sphaerCanadecanade
Sphaeroderus.stenostomus lecontei,sphaerStenoslecont
Syntomus.americanus,syntomAmeric
Synuchus.impunctatus,synuchImpunc
Tetracha.virginica,tetracVirgin
